name                                                                                                                                                                               |  rows    
Crowley for Congress                                                                                                                                                               |  6665    
NY Republican Federal Campaign Committee                                                                                                                                           |  6546    
American Crossroads                                                                                                                                                                |  6468    
Debbie Wasserman Schultz for Congress                                                                                                                                              |  6449    
North Dakota Democratic-Nonpartisan League Party                                                                                                                                   |  6356    
Georgia Republican Party, Inc.                                                                                                                                                     |  6321    
Comcast Corporation & NBCUniversal Political Action Committee - Federal                                                                                                            |  6275    
Republican Party of San Diego County                                                                                                                                               |  6257    
Enterprise Holdings, Inc. Political Action Committee                                                                                                                               |  6250    
Democratic State Committee (Delaware)                                                                                                                                              |  6238    
AMERIPAC: The Fund for a Greater America                                                                                                                                           |  6220    
ANDREWS FOR CONGRESS                                                                                                                                                               |  6216    
Ready PAC                                                                                                                                                                          |  6209    
Republican Party of Texas                                                                                                                                                          |  6129    
AT&T Inc. Federal Political Action Committee (AT&T Federal PAC)                                                                                                                    |  6104    
Kirkpatrick for Arizona                                                                                                                                                            |  6100    
Idaho State Democratic Party                                                                                                                                                       |  5959    
JEB 2016, INC.                                                                                                                                                                     |  5954    
The Boeing Company Political Action Committee                                                                                                                                      |  5945    
Bachmann for Congress                                                                                                                                                              |  5914    
Rick Santorum for President, Inc. (2012)                                                                                                                                           |  5879    
TeaPartyExpress.org                                                                                                                                                                |  5782    
Ellison for Congress                                                                                                                                                               |  5767    
Charles Boustany Jr. MD for Congress, Inc.                                                                                                                                         |  5754    
Langevin for Congress                                                                                                                                                              |  5686    
Fairfax County Democratic Committee                                                                                                                                                |  5636    
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E                                                                                                             |  5562    
Kansas Democratic Party                                                                                                                                                            |  5552    
Utah State Democratic Committee                                                                                                                                                    |  5539    
MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL                                                                                                                                        |  5487    
Walden for Congress                                                                                                                                                                |  5487    
COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE                                                                                                           |  5483    
Mike Thompson For Congress                                                                                                                                                         |  5448    
The Freedom Project                                                                                                                                                                |  5400    
FREE AND STRONG AMERICA PAC, INC.                                                                                                                                                  |  5336    
International Union of Painters and Allied Trades Political Action Together Political Committee                                                                                    |  5333    
Democratic Party of Illinois                                                                                                                                                       |  5323    
Raytheon Company Political Action Committtee                                                                                                                                       |  5298    
San Diego County Democratic Party Fed Acct                                                                                                                                         |  5290    
ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE                                                                                                                                   |  5266    
Kevin McCarthy for Congress                                                                                                                                                        |  5265    
Hoyer for Congress                                                                                                                                                                 |  5242    
Terri Sewell for Congress                                                                                                                                                          |  5231    
Nevada Republican Central Committee                                                                                                                                                |  5199    
Sherman for Congress                                                                                                                                                               |  5170    
PROGRESSIVE VOTE AKA PROGRESSIVE DEMOCRATS OF AMERICA                                                                                                                              |  5166    
SEIU COPE (Service Employees International Union Committee On Political Education)                                                                                                 |  5126    
Pompeo for Congress, Inc.                                                                                                                                                          |  5100    
