name                                                                                                                                                                               |  rows    
Virginia Foxx for Congress                                                                                                                                                         |  2116    
FRELINGHUYSEN FOR CONGRESS                                                                                                                                                         |  2110    
Nolan for Congress Volunteer Committee                                                                                                                                             |  2105    
Jobs, Opportunities and Education PAC (JOE-PAC)                                                                                                                                    |  2097    
Machinists Non Partisan Political League of the International Association of Machinists & Aerospace Workers                                                                        |  2096    
Bucshon for Congress                                                                                                                                                               |  2095    
Gary Miller for Congress                                                                                                                                                           |  2087    
Montgomery County Democratic Central Committee                                                                                                                                     |  2077    
United Association Political Education Committee (United Association of Journeymen and Apprentices of the Plumbing & Pipefitting Industry of the United States and Canada)         |  2073    
The Goldman Sachs Group, Inc. Political Action Committee                                                                                                                           |  2068    
Health Underwriters Political Action Committee                                                                                                                                     |  2064    
Texas Medical Association Political Action Committee                                                                                                                               |  2057    
RIGHT TO RISE PAC, INC.                                                                                                                                                            |  2056    
Peace Action West Voter Fund                                                                                                                                                       |  2050    
Loebsack for Congress                                                                                                                                                              |  2043    
Allstate Insurance Company PAC                                                                                                                                                     |  2035    
TOM RICE FOR CONGRESS                                                                                                                                                              |  2035    
Martha Roby for Congress                                                                                                                                                           |  2032    
The Farm Credit Council Political Action Committee                                                                                                                                 |  2031    
Greenberg Traurig, P.A. PAC                                                                                                                                                        |  2026    
Pingree for Congress                                                                                                                                                               |  2026    
Doggett for Congress                                                                                                                                                               |  2024    
Marc Veasey Congressional Campaign Committee                                                                                                                                       |  2024    
American Council of Engineering Companies (ACEC/PAC)                                                                                                                               |  2019    
Sheet Metal Workers International Association Political Action League                                                                                                              |  2011    
Association of State Democratic Chairs                                                                                                                                             |  2006    
The Caterpillar Inc. Employee Political Action Committee                                                                                                                           |  2004    
Marino for Congress                                                                                                                                                                |  2000    
People for Derek Kilmer                                                                                                                                                            |  1996    
Coffman for Congress                                                                                                                                                               |  1994    
Make DC Listen                                                                                                                                                                     |  1992    
Ben Chandler for Congress                                                                                                                                                          |  1991    
HASTINGS FOR CONGRESS                                                                                                                                                              |  1991    
Huckabee for President, Inc.                                                                                                                                                       |  1990    
CONSERVATIVE VICTORY FUND                                                                                                                                                          |  1988    
Committee to Re-Elect Nydia M. Velazquez to Congress                                                                                                                               |  1980    
National Federation of Independent Business/ Save Americas Free Enterprise Trust                                                                                                   |  1978    
International Brotherhood of Boilermakers Campaign Assistance Fund                                                                                                                 |  1976    
COSTELLO FOR CONGRESS COMMITTEE                                                                                                                                                    |  1975    
Kurt Schrader for Congress                                                                                                                                                         |  1972    
Mississippi Democratic Party PAC                                                                                                                                                   |  1968    
Alaska Republican Party                                                                                                                                                            |  1962    
Friends of Susan Brooks                                                                                                                                                            |  1960    
Dan Burton for Congress Committee                                                                                                                                                  |  1959    
LABORERS INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC                                                                                                                          |  1959    
Mark Greenberg for Congress                                                                                                                                                        |  1948    
David Rouzer for Congress                                                                                                                                                          |  1943    
ONEOK Inc. Employee Political Action Committee                                                                                                                                     |  1942    
BILL OWENS FOR CONGRESS                                                                                                                                                            |  1938    
NextEra Energy, Inc. Political Action Committee                                                                                                                                    |  1938    
Aircraft Owners and Pilots Association Political Action Committee                                                                                                                  |  1933    
Humana Inc. Political Action Committee                                                                                                                                             |  1930    
Mortgage Bankers Association Political Action Committee (MORPAC)                                                                                                                   |  1928    
VoteTipton.Com                                                                                                                                                                     |  1925    
Pete Aguilar for Congress                                                                                                                                                          |  1923    
Monsanto Company Citizenship Fund aka Monsanto Citizenship Fund                                                                                                                    |  1922    
Scott for Congress                                                                                                                                                                 |  1922    
Womack for Congress Committee                                                                                                                                                      |  1922    
HALL FOR CONGRESS COMMITTEE (RALPH HALL - ROCKWALL, TEXAS)                                                                                                                         |  1914    
Spectra Energy Corp Political Action Committee (Spectra-DCP PAC)                                                                                                                   |  1906    
IMPACT                                                                                                                                                                             |  1899    
JEFF DUNCAN FOR CONGRESS                                                                                                                                                           |  1897    
Engineers Political Education Committee (EPEC)/International Union of Operating Engineers                                                                                          |  1895    
Titus for Congress                                                                                                                                                                 |  1893    
Cartwright for Congress                                                                                                                                                            |  1891    
LEE, SHEILA JACKSON                                                                                                                                                                |  1886    
AMALGAMATED TRANSIT UNION - COPE                                                                                                                                                   |  1885    
National Electrical Contractors Association Political Action Committee (NECAPAC)                                                                                                   |  1867    
Massachusetts Mutual Life Insurance Company Political Action Committee                                                                                                             |  1855    
Committee to Reelect Congressman Chris Smith                                                                                                                                       |  1850    
Mulvaney for Congress                                                                                                                                                              |  1849    
Norm PAC                                                                                                                                                                           |  1847    
American Optometric Association Political Action Committee                                                                                                                         |  1842    
Hansen Clarke For Congress                                                                                                                                                         |  1841    
Deere & Company PAC (AKA John Deere PAC)                                                                                                                                           |  1840    
Enyart for Congress                                                                                                                                                                |  1839    
Fattah For Congress                                                                                                                                                                |  1839    
K&L Gates LLP Political Action Committee (DC)                                                                                                                                      |  1837    
VERMONT REPUBLICAN FEDERAL ELECTIONS COMMITTEE                                                                                                                                     |  1837    
DONNA EDWARDS FOR CONGRESS                                                                                                                                                         |  1835    
CAPUANO FOR CONGRESS COMMITTEE                                                                                                                                                     |  1828    
SOUTH DAKOTA REPUBLICAN PARTY                                                                                                                                                      |  1824    
The Bill Keating Committee                                                                                                                                                         |  1821    
San Francisco Democratic County Central Committee                                                                                                                                  |  1820    
PASTOR FOR ARIZONA                                                                                                                                                                 |  1818    
Paul Tonko for Congress                                                                                                                                                            |  1816    
American Academy of Family Physicians Political Action Committee                                                                                                                   |  1813    
Friends of Dan Kildee                                                                                                                                                              |  1811    
Valadao for Congress                                                                                                                                                               |  1809    
Battleground Texas                                                                                                                                                                 |  1808    
Huntington BancShares Inc. Political Action Committee  (HBI-PAC)                                                                                                                   |  1807    
Pittenger for Congress                                                                                                                                                             |  1805    
CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS                                                                                          |  1797    
Illinois Tenth Congressional District Democrats                                                                                                                                    |  1797    
Republican Mainstreet Partnership PAC                                                                                                                                              |  1796    
Nationwide Mutual Insurance Company Political Action Committee                                                                                                                     |  1785    
Horsford for Congress                                                                                                                                                              |  1783    
Stark County Republican Party                                                                                                                                                      |  1780    
Kaptur for Congress                                                                                                                                                                |  1776    
RAND PAUL FOR PRESIDENT, INC.                                                                                                                                                      |  1772    
Democratic Party Committee Abroad                                                                                                                                                  |  1771    
Jason Smith for Congress                                                                                                                                                           |  1768    
Associated Builders and Contractors Political Action Committee (ABC PAC)                                                                                                           |  1767    
McKinley for Congress                                                                                                                                                              |  1767    
LUCILLE ROYBAL-ALLARD FOR CONGRESS                                                                                                                                                 |  1762    
BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC)                                                                                                                  |  1759    
Kathleen Rice for Congress                                                                                                                                                         |  1759    
Vicky Hartzler for Congress                                                                                                                                                        |  1741    
Campaign for Change                                                                                                                                                                |  1740    
Friends of Joe Baca 2014                                                                                                                                                           |  1739    
Planned Parenthood Action Fund Inc. PAC                                                                                                                                            |  1739    
Bonamici for Congress                                                                                                                                                              |  1738    
RESTORE AMERICAS VOICE PAC                                                                                                                                                         |  1736    
Sacramento County Democratic Central Committee: United Campaign Committee-Federal                                                                                                  |  1736    
NUNNELEE FOR CONGRESS                                                                                                                                                              |  1733    
American Academy of Ophthalmology Inc Political Committee (OPHTHPAC)                                                                                                               |  1732    
Heath Shuler for Congress                                                                                                                                                          |  1730    
American Crystal Sugar Company Political Action Committee                                                                                                                          |  1724    
Friends of Dennis Ross                                                                                                                                                             |  1722    
CME Group Inc. PAC                                                                                                                                                                 |  1720    
MEDNAX, INC. FEDERAL POLITICAL ACTION COMMITTEE                                                                                                                                    |  1710    
NEW HAMPSHIRE REPUBLICAN STATE COMMITTEE                                                                                                                                           |  1709    
REYNOLDS AMERICAN INC. POLITICAL ACTION COMMITTEE; RAI PAC                                                                                                                         |  1703    
Yarmuth for Congress                                                                                                                                                               |  1696    
PLUMBERS & PIPEFITTERS LOCAL NO 9 POLITICAL ACTION COMMITTEE                                                                                                                       |  1695    
BOREN FOR CONGRESS                                                                                                                                                                 |  1686    
CASH AMERICA INTERNATIONAL INC. POLITICAL ACTION COMMITTEE                                                                                                                         |  1685    
WEBER FOR CONGRESS                                                                                                                                                                 |  1680    
Mike McIntyre for Congress                                                                                                                                                         |  1679    
FAIRFAX COUNTY REPUBLICAN COMMITTEE (FEDERAL)                                                                                                                                      |  1674    
Google Inc. NetPAC                                                                                                                                                                 |  1673    
Sean Eldridge for Congress                                                                                                                                                         |  1667    
Joe Garcia for Congress                                                                                                                                                            |  1666    
Scott Murphy for Congress                                                                                                                                                          |  1666    
The Council of Insurance Agents & Brokers Political Action Committee                                                                                                               |  1666    
AmerisourceBergen Corporation Political Action Committee (ABC PAC)                                                                                                                 |  1665    
Aetna Inc. Political Action Committee                                                                                                                                              |  1664    
Graham for Congress                                                                                                                                                                |  1663    
MetLife Inc. Employees Political Participation Fund A                                                                                                                              |  1663    
FRIENDS OF FRANK WOLF                                                                                                                                                              |  1659    
Jeff Miller for Congress                                                                                                                                                           |  1655    
Rubio Victory Committee                                                                                                                                                            |  1655    
American Association of Nurse Anesthetists Separate Segregated Fund (CRNA-PAC)                                                                                                     |  1654    
National Stone, Sand & Gravel Association ROCKPAC                                                                                                                                  |  1654    
Clarke for Congress                                                                                                                                                                |  1653    
HOUSE CONSERVATIVES FUND                                                                                                                                                           |  1643    
Akin Gump Strauss Hauer & Feld LLP Civic Action Committee (aka AGSH&F Civic Action Committ                                                                                         |  1642    
Hillsborough County Republican Executive Committee                                                                                                                                 |  1640    
Diane Black for Congress                                                                                                                                                           |  1638    
Susan Davis For Congress                                                                                                                                                           |  1633    
CenterPoint Energy, Inc. Political Action Committee                                                                                                                                |  1628    
WEST VIRGINIANS FOR LIFE INC POLITICAL ACTION COMMITTEE                                                                                                                            |  1627    
Jeffries for Congress                                                                                                                                                              |  1623    
FRIENDS OF RICK BOUCHER                                                                                                                                                            |  1618    
Trucking Political Action Committee of the American Trucking Associations Inc.                                                                                                     |  1617    
International Association of Heat & Frost Insulators and Asbestos Workers                                                                                                          |  1611    
Lofgren for Congress                                                                                                                                                               |  1610    
Latta for Congress                                                                                                                                                                 |  1608    
Right to Life/Oregon PAC                                                                                                                                                           |  1607    
National Right to Life Victory Fund                                                                                                                                                |  1604    
Education & Opportunity Fund II                                                                                                                                                    |  1603    
Rodney for Congress                                                                                                                                                                |  1602    
MEDCO HEALTH SOLUTIONS, INC. AND EXPRESS SCRIPTS, INC. POLITICAL ACTION COMMITTEE (AKA MEDCO-EXPRESS SCRIPTS PAC)                                                                  |  1599    
LaTourette for Congress                                                                                                                                                            |  1594    
National Community Pharmacists Association - PAC                                                                                                                                   |  1585    
Sires for Congress                                                                                                                                                                 |  1584    
Doug Ose for Congress                                                                                                                                                              |  1581    
Judy Chu For Congress                                                                                                                                                              |  1575    
Chevron Employees Political Action Committee - Chevron Corporation                                                                                                                 |  1569    
Cramer for Congress                                                                                                                                                                |  1567    
Kansafornian PAC                                                                                                                                                                   |  1567    
Santa Clara County United Democratic Campaign                                                                                                                                      |  1567    
Associated General Contractors of America Political Action Committee                                                                                                               |  1566    
Association for Advanced Life Underwriting PAC (AALU PAC)                                                                                                                          |  1559    
Louise Slaughter Re-Election Committee                                                                                                                                             |  1559    
UNITEDS MINE WORKERS OF AMERICA POLITICAL ACTION COMMITTEE                                                                                                                         |  1557    
Elise for Congress                                                                                                                                                                 |  1554    
DONALD J. TRUMP FOR PRESIDENT, INC.                                                                                                                                                |  1552    
TONY CARDENAS FOR CONGRESS                                                                                                                                                         |  1550    
JPMorgan Chase & Co. Federal Political Action Committee                                                                                                                            |  1549    
CITIZENS TO ELECT PHIL ROE TO CONGRESS                                                                                                                                             |  1547    
Republican Party of Sacramento County (Fed. Acct.)                                                                                                                                 |  1547    
Citizens for Bongino                                                                                                                                                               |  1546    
Wenstrup for Congress                                                                                                                                                              |  1543    
IUOE OPERATING ENGINEERS                                                                                                                                                           |  1542    
National Restaurant Association PAC (Restaurant PAC)                                                                                                                               |  1542    
Friends of Farr                                                                                                                                                                    |  1541    
BLAINE FOR CONGRESS                                                                                                                                                                |  1535    
Right to Rise USA                                                                                                                                                                  |  1534    
Motorola Solutions, Inc. Political Action Committee                                                                                                                                |  1531    
TOM ROONEY FOR CONGRESS                                                                                                                                                            |  1531    
The Dow Chemical Company Employees PAC (DowPAC)                                                                                                                                    |  1529    
National Association of Mutual Insurance Companies PAC                                                                                                                             |  1527    
The Hartford Financial Services Group, Inc. PAC (aka the Hartford Advocates Fund)                                                                                                  |  1525    
National Association of Convenience Stores Political Action Committee                                                                                                              |  1524    
Centene Corporation Political Action Committee (Centene PAC)                                                                                                                       |  1521    
Riverside Republican Central Committee                                                                                                                                             |  1521    
Stanislaus Republican Central Committee (Fed)                                                                                                                                      |  1514    
BANK OF AMERICA CORPORATION FEDERAL PAC                                                                                                                                            |  1511    
Santa Barbara County Democratic Central Committee Federal PAC                                                                                                                      |  1509    
CLAY JR. FOR CONGRESS                                                                                                                                                              |  1502    
UBS Americas Inc. Political Action Committee (UBS PAC)                                                                                                                             |  1502    
Waste Management Employees Better Government Fund                                                                                                                                  |  1499    
DEVIN NUNES CAMPAIGN COMMITTEE                                                                                                                                                     |  1488    
Meadows for Congress                                                                                                                                                               |  1479    
Quigley for Congress                                                                                                                                                               |  1479    
CVS Health PAC                                                                                                                                                                     |  1478    
Sanofi US Services Inc. Employees Political Action Committee                                                                                                                       |  1475    
Citigroup Inc. PAC - Federal                                                                                                                                                       |  1474    
Guthrie For Congress                                                                                                                                                               |  1472    
Bluepac - Blue Cross Blue Shield Association Pac                                                                                                                                   |  1467    
Jobs Growth and Freedom Fund                                                                                                                                                       |  1465    
Aqua America, Inc. H2O Political Action Committee                                                                                                                                  |  1464    
Filemon Vela for Congress                                                                                                                                                          |  1461    
GARRET GRAVES FOR CONGRESS                                                                                                                                                         |  1459    
Gutierrez For Congress                                                                                                                                                             |  1457    
International Brotherhood of Painters and Allied Trades District Council 21 PAC                                                                                                    |  1457    
Constitution Party National Committee                                                                                                                                              |  1456    
Planned Parenthood Votes                                                                                                                                                           |  1453    
Poe for Congress                                                                                                                                                                   |  1450    
Victory Now PAC                                                                                                                                                                    |  1449    
AMERICAN LEGACY POLITICAL ACTION COMMITTEE                                                                                                                                         |  1445    
The Williams Companies, Inc. Political Action Committee                                                                                                                            |  1440    
Americans for Legal Immigration PAC                                                                                                                                                |  1439    
National Draft Ben Carson for President Committee                                                                                                                                  |  1439    
Friends of Dave Joyce                                                                                                                                                              |  1437    
VOTEVETS                                                                                                                                                                           |  1436    
DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC                                                                                                                                          |  1435    
Huntington Ingalls Industries PAC (SHIPPAC)                                                                                                                                        |  1434    
ConocoPhillips SPIRIT PAC                                                                                                                                                          |  1432    
Hewlett Packard Enterprise Company PAC                                                                                                                                             |  1432    
SPRINT CORPORATION POLITICAL ACTION COMMITTEE                                                                                                                                      |  1430    
Chuck Fleischmann for Congress Committee, Inc.                                                                                                                                     |  1426    
Holland & Knight Committee for Effective Government                                                                                                                                |  1426    
MARIANNE WILLIAMSON FOR CONGRESS                                                                                                                                                   |  1426    
Bilbray for Congress                                                                                                                                                               |  1425    
